ID,TITLE,title_length,word_count,has_year,contains_love
0,_this is joan collins,21,4,0,0
1,_Дневник Анны Франк,19,3,0,0
2,_ mrs parker and the vicious circle,35,7,0,0
4,_ the ghost writer,18,4,0,0
5,_swimming pool,14,2,0,0
6,_naked lunch,12,2,0,0
7,_total eclipse,14,2,0,0
8,_reds,5,1,0,0
9,_ prozac nation,15,3,0,0
10,_adaptation,11,1,0,0
11,_Paura e delirio,16,3,0,0
12,_wonder boys,12,2,0,0
13,_lolita (1962),14,2,1,0
14,_lolita (1998),14,2,1,0
15,_the low life,13,3,0,0
16,_the hours,10,2,0,0
17,_la dolce vita,14,3,0,0
18,_shakespeare in love,20,3,0,1
19,_quills,7,1,0,0
20,_before night falls,19,3,0,0
21,_il postino,11,2,0,0
22,_pinero,7,1,0,0
23,_heart beat -1980-,18,3,1,0
24,_veronica guerin,16,2,0,0
25,_tom and viv,12,3,0,0
26,_skipped parts,14,2,0,0
27,_barton fink,12,2,0,0
28,_last call,10,2,0,0
29,_the bell jar  1979,19,4,1,0
30,_sylvia,7,1,0,0
31,_shipping news,14,2,0,0
32,_suffering man&rsquop;s charity,31,3,0,0
33,_wilde,6,1,0,0
34,_the disappearance of garcia lorca,34,5,0,0
35,_sunset boulevard,17,2,0,0
36,_the anniversary party,22,3,0,0
37,_Woody Allen Fall Project 1996 (working title),46,7,1,0
38,_the shining,12,2,0,0
39,_nora,5,1,0,0
40,_mother night,13,2,0,0
41,_letter from an unknown woman,29,5,0,0
42,_finding forrester,18,2,0,0
43,_roman holiday,14,2,0,0
44,_blue car,9,2,0,0
45,_don’t look back,16,3,0,0
46,_Ne te retourne pas,19,4,0,0
47,_american splendor,18,2,0,0
48,_shadowlands,12,1,0,0
49,_annie hall,11,2,0,0
50,_secret window,14,2,0,0
51,_arsenic and old lace,21,4,0,0
52,_the man from elysian fields,28,5,0,0
53,_born into this,15,3,0,0
54,_little women,13,2,0,0
55,_8 mile,7,2,0,0
56,_the front,10,2,0,0
57,_as good as it gets,19,5,0,0
58,_the secret life of ian fleming,31,6,0,0
59,_the muse,9,2,0,0
60,_unforgiven,11,1,0,0
61,_bullets over broadway,22,3,0,0
62,_the producers,14,2,0,0
63,_authur! Author!,16,2,0,0
64,_chapter two,12,2,0,0
65,_Syysmuistoja,13,1,0,0
66,_the loves of edgar allan poe,29,6,0,1
67,_the man with a cloak,21,5,0,0
68,_torture garden,15,2,0,0
70,_something’s gotta give,23,3,0,0
71,_alex and emma,14,3,0,0
72,_every word is true,19,4,0,0
73,_kinsey,7,1,0,0
74,_in my country,14,3,0,0
75,_Taksówkarz,11,1,0,0
76,_moulin rouge!,14,2,0,0
77,_finding neverland,18,2,0,0
78,_Die Reise des jungen Che,25,5,0,0
79,_the kiss,9,2,0,0
80,"_this world, then the fireworks",31,5,0,0
81,_divine secrets of the ya ya sisterhood,39,7,0,0
82,_the philadelphia story,23,3,0,0
83,_hemingway,10,1,0,0
84,_the rum diary,14,3,0,0
85,_the crush,10,2,0,0
86,_where the truth lies,21,4,0,0
87,_all the president’s men,24,4,0,0
88,_ask the dust,13,3,0,0
89,_kalifornia,11,1,0,0
90,the door in the floor,21,5,0,0
91,_sideways,9,1,0,0
92,_dogville,9,1,0,0
93,_little man tate,16,3,0,0
94,_neverwas,9,1,0,0
95,_king lear (1987),17,3,1,0
96,_the vanishing,14,2,0,0
97,_how to lose a guy in ten days,30,8,0,0
98,_everyone says i love you,25,5,0,1
99,_field of dreams,16,3,0,0
100,_the last shot,14,3,0,0
101,_never been kissed,18,3,0,0
102,_all i want,11,3,0,0
103,_state and main,15,3,0,0
104,_ Hermot pinnalla,17,3,0,0
105,_housebound,11,1,0,0
106,flashback(1990),15,1,1,0
107,_sade,5,1,0,0
108,_closer,7,1,0,0
109,_zola,5,1,0,0
110,_black river,12,2,0,0
111,_stone reader,13,2,0,0
112,_try seventeen,14,2,0,0
113,_writer of O,12,3,0,0
114,_les enfants du sicle,21,4,0,0
115,_la petite lili,15,3,0,0
116,_byron,6,1,0,0
117,_the lost weekend (1945),24,4,1,0
118,_salem’s lot,12,2,0,0
119,_luck,5,1,0,0
120,_under the tuscan sun,21,4,0,0
121,_celeste in the city,20,4,0,0
122,_young adam,11,2,0,0
123,_home of the giants,19,4,0,0
124,_how to kill your neighbor’s dog,32,6,0,0
126,_rag tale,9,2,0,0
127,_girl interrupted,17,2,0,0
128,_the devil wears prada,22,4,0,0
129,_postcards from the edge,24,4,0,0
131,_artists and models (1955),26,4,1,0
132,_rumor has it,13,3,0,0
133,_ivans xtc,10,2,0,0
134,_skin deep,10,2,0,0
135,_2046,5,1,1,0
136,_bordertown,11,1,0,0
137,_wag the dog,12,3,0,0
138,_obsessed (2002),16,2,1,0
139,_poetic justice,15,2,0,0
140,_half light,11,2,0,0
141,_Капоте 2005 - bennet miller,28,5,1,0
142,_the edge of madness,20,4,0,0
143,_cheaper by the dozen,21,4,0,0
144,_orlando,8,1,0,0
145,_before sunset,14,2,0,0
146,_the odd couple,15,3,0,0
147,_impromptu,10,1,0,0
148,_wings of courage (1995),24,4,1,0
149,_the naked truth (1957),23,4,1,0
150,_james joyce’s women,20,3,0,0
151,_the singing detective (2003),29,4,1,0
152,_festival in cannes,19,3,0,0
153,_le divorce,11,2,0,0
154,_freedom writers,16,2,0,0
155,_no direction home,18,3,0,0
157,_my dog skip,12,3,0,0
158,le seuil,8,2,0,0
159,_mean girls,11,2,0,0
160,_duplex,7,1,0,0
161,_breaking all the rules,23,4,0,0
162,_Anime gemelle,14,2,0,0
163,_he said/she said,17,3,0,0
164,_journey of a lifetime,22,4,0,0
165,_turtle diary,13,2,0,0
166,_factotum,9,1,0,0
167,_lunacy,7,1,0,0
168,_love and other disasters,25,4,0,1
169,_lila says,10,2,0,0
170,_a love song for bobby long,27,6,0,1
171,_scoop,6,1,0,0
172,_the nanny diaries,18,3,0,0
173,_rko 281,8,2,0,0
174,_the dreamers “a poem is a petition”,36,7,0,0
175,_meet the press (1937),22,4,1,0
176,_dedication,11,1,0,0
177,kiss kiss bang bang,19,4,0,0
178,_the unbearable lightness of being,34,5,0,0
179,_caitlin,8,1,0,0
180,_running with scissors,22,3,0,0
181,candy,5,1,0,0
182,_becoming jane,14,2,0,0
183,alpha numeric,13,2,0,0
184,_songwriter,11,1,0,0
185,_a prairie home companion,25,4,0,0
186,_interview (2007),17,2,1,0
187,_Klang der Stille,17,3,0,0
188,_kafka,6,1,0,0
189,_the tiger and the snow,23,5,0,0
190,_your name here,15,3,0,0
191,_novel romance,14,2,0,0
192,_land of the blind,18,4,0,0
193,_i am a camera (1955),21,5,1,0
194,_music and Lyrics,17,3,0,0
195,_rough draft,12,2,0,0
196,_kissing jessica stein,22,3,0,0
197,_art house,10,2,0,0
198,_wife vs secretary,18,3,0,0
199,_Генри дурак,12,2,0,0
200,_fay grim,9,2,0,0
201,_f scott fitzgerald in hollywood,32,5,0,0
202,_the shadow dancer,18,3,0,0
203,_the front page,15,3,0,0
204,_Immortel (ad vitam),20,3,0,0
205,deadline - U.S.A.,17,3,0,0
206,_stranger than fiction (2005),29,4,1,0
207,_stranger than fiction (2006),29,4,1,0
208,_everything is illuminated,26,3,0,0
209,_neal cassady,13,2,0,0
210,_moliere,8,1,0,0
212,"_bright lights, big city",24,4,0,0
213,_gospel according to janice,27,4,0,0
214,_trifling with fate,19,3,0,0
215,_tour deluxe edition,20,3,0,0
216,_the best time of our lives,27,6,0,0
217,_tokyo suckerpunch,18,2,0,0
218,_unge andersen,14,2,0,0
219,_cry freedom,12,2,0,0
220,_дневник анны франк,19,3,0,0
221,_bridget jones’s diary,22,3,0,0
222,_multiple sarcasms,18,2,0,0
223,_jake’s women,13,2,0,0
224,_the obit writer,16,3,0,0
225,_paper lion,11,2,0,0
226,_resurrecting the champ,23,3,0,0
